"Município","Produto","Data","Preço"
"Alagoinhas","DIESEL",2025-02-19,5.86
"Alagoinhas","DIESEL S10",2025-02-19,5.96
"Alagoinhas","ETANOL",2025-02-19,4.37
"Alagoinhas","GASOLINA",2025-02-19,5.87
"Alagoinhas","GASOLINA ADITIVADA",2025-02-19,5.87
"Alagoinhas","GNV",2025-02-19,4.38
"Aracaju","DIESEL S10",2025-02-18,6.23
"Aracaju","ETANOL",2025-02-18,4.8
"Aracaju","GASOLINA",2025-02-18,6.62
"Aracaju","GASOLINA ADITIVADA",2025-02-18,6.62
"Aracaju","GLP",2025-02-18,99.9
"Aracaju","GNV",2025-02-18,4.9
"Arapiraca","DIESEL",2025-02-19,6.59
"Arapiraca","DIESEL S10",2025-02-19,6.59
"Arapiraca","ETANOL",2025-02-19,4.79
"Arapiraca","GASOLINA",2025-02-19,6.29
"Arapiraca","GASOLINA ADITIVADA",2025-02-19,6.35
"Arapiraca","GLP",2025-02-19,95
"Arapiraca","GNV",2025-02-17,4.99
"Barreiras","DIESEL",2025-02-20,6.09
"Barreiras","DIESEL S10",2025-02-20,6.24
"Barreiras","ETANOL",2025-02-20,4.59
"Barreiras","GASOLINA",2025-02-20,6.49
"Barreiras","GASOLINA ADITIVADA",2025-02-20,6.59
"Barreiras","GLP",2025-02-19,125
"Brumado","DIESEL",2025-02-18,6.19
"Brumado","DIESEL S10",2025-02-18,6.29
"Brumado","ETANOL",2025-02-18,5.06
"Brumado","GASOLINA",2025-02-18,6.56
"Brumado","GASOLINA ADITIVADA",2025-02-18,6.56
"Brumado","GLP",2025-02-18,115
"Caetite","DIESEL",2025-02-19,6.78
"Caetite","DIESEL S10",2025-02-19,6.88
"Caetite","ETANOL",2025-02-19,4.88
"Caetite","GASOLINA",2025-02-19,6.88
"Caetite","GASOLINA ADITIVADA",2025-02-19,6.89
"Delmiro Gouveia","DIESEL",2025-02-17,6.83
"Delmiro Gouveia","DIESEL S10",2025-02-17,6.93
"Delmiro Gouveia","ETANOL",2025-02-17,5.02
"Delmiro Gouveia","GASOLINA",2025-02-17,7.09
"Delmiro Gouveia","GASOLINA ADITIVADA",2025-02-17,7.09
"Delmiro Gouveia","GLP",2025-02-18,110
"Eunapolis","DIESEL",2025-02-19,6.56
"Eunapolis","DIESEL S10",2025-02-19,6.66
"Eunapolis","ETANOL",2025-02-19,4.96
"Eunapolis","GASOLINA",2025-02-19,6.79
"Eunapolis","GASOLINA ADITIVADA",2025-02-19,6.8
"Feira de Santana","DIESEL",2025-02-20,6.26
"Feira de Santana","DIESEL S10",2025-02-20,6.34
"Feira de Santana","ETANOL",2025-02-20,4.39
"Feira de Santana","GASOLINA",2025-02-20,5.89
"Feira de Santana","GASOLINA ADITIVADA",2025-02-20,6.19
"Feira de Santana","GLP",2025-02-20,114.9
"Feira de Santana","GNV",2025-02-06,4.49
"Guanambi","DIESEL",2025-02-17,6.27
"Guanambi","DIESEL S10",2025-02-17,6.37
"Guanambi","ETANOL",2025-02-17,4.65
"Guanambi","GASOLINA",2025-02-17,6.54
"Guanambi","GASOLINA ADITIVADA",2025-02-17,6.6
"Ilheus","DIESEL",2025-02-19,6.85
"Ilheus","DIESEL S10",2025-02-19,6.87
"Ilheus","ETANOL",2025-02-19,4.63
"Ilheus","GASOLINA",2025-02-19,6.61
"Ilheus","GASOLINA ADITIVADA",2025-02-19,6.61
"Ilheus","GLP",2025-02-19,120
"Ilheus","GNV",2025-02-18,4.63
"Ipira","DIESEL",2025-02-21,6.26
"Ipira","DIESEL S10",2025-02-21,6.29
"Ipira","ETANOL",2025-02-21,4.73
"Ipira","GASOLINA",2025-02-21,6.44
"Ipira","GASOLINA ADITIVADA",2025-02-21,6.44
"Irece","DIESEL",2025-02-19,6.2
"Irece","DIESEL S10",2025-02-19,6.3
"Irece","ETANOL",2025-02-19,4.7
"Irece","GASOLINA",2025-02-19,6.2
"Irece","GASOLINA ADITIVADA",2025-02-19,6.23
"Itabaiana","DIESEL",2025-02-18,6.08
"Itabaiana","DIESEL S10",2025-02-18,6.23
"Itabaiana","GASOLINA",2025-02-18,6.51
"Itabaiana","GASOLINA ADITIVADA",2025-02-18,6.51
"Itabuna","DIESEL",2025-02-19,6.06
"Itabuna","DIESEL S10",2025-02-19,6.16
"Itabuna","ETANOL",2025-02-19,4.59
"Itabuna","GASOLINA",2025-02-19,6.59
"Itabuna","GASOLINA ADITIVADA",2025-02-19,6.59
"Itabuna","GLP",2025-02-20,115
"Itabuna","GNV",2025-02-19,4.8
"Itamaraju","DIESEL",2025-02-18,6.14
"Itamaraju","DIESEL S10",2025-02-18,6.24
"Itamaraju","ETANOL",2025-02-20,4.84
"Itamaraju","GASOLINA",2025-02-20,6.74
"Itamaraju","GASOLINA ADITIVADA",2025-02-18,6.85
"Jacobina","DIESEL",2025-02-11,6.43
"Jacobina","DIESEL S10",2025-02-11,6.34
"Jacobina","ETANOL",2025-02-11,4.93
"Jacobina","GASOLINA",2025-02-11,6.54
"Jacobina","GASOLINA ADITIVADA",2025-02-11,6.54
"Jacobina","GLP",2025-02-06,135
"Jaguaquara","DIESEL",2025-02-12,6.09
"Jaguaquara","DIESEL S10",2025-02-12,6.19
"Jaguaquara","ETANOL",2025-02-12,4.48
"Jaguaquara","GASOLINA",2025-02-12,6.19
"Jaguaquara","GASOLINA ADITIVADA",2025-02-12,6.59
"Jaguaquara","GLP",2025-02-13,110
"Jequie","DIESEL",2025-02-18,6.2
"Jequie","DIESEL S10",2025-02-18,6.35
"Jequie","ETANOL",2025-02-18,4.29
"Jequie","GASOLINA",2025-02-18,5.79
"Jequie","GASOLINA ADITIVADA",2025-02-18,5.79
"Jequie","GLP",2025-02-18,109.99
"Juazeiro","DIESEL",2025-02-18,6.2
"Juazeiro","DIESEL S10",2025-02-18,6.3
"Juazeiro","ETANOL",2025-02-18,4.99
"Juazeiro","GASOLINA",2025-02-18,6.64
"Juazeiro","GASOLINA ADITIVADA",2025-02-18,6.89
"Juazeiro","GLP",2025-02-20,115
"Lagarto","DIESEL",2025-02-10,6.08
"Lagarto","DIESEL S10",2025-02-10,6.23
"Lagarto","ETANOL",2025-02-10,4.8
"Lagarto","GASOLINA",2025-02-10,6.51
"Lagarto","GASOLINA ADITIVADA",2025-02-10,6.51
"Maceio","DIESEL",2025-02-19,6.59
"Maceio","DIESEL S10",2025-02-19,6.19
"Maceio","ETANOL",2025-02-19,4.94
"Maceio","GASOLINA",2025-02-19,6.23
"Maceio","GASOLINA ADITIVADA",2025-02-19,6.39
"Maceio","GLP",2025-02-19,84.99
"Maceio","GNV",2025-02-17,4.79
"Paulo Afonso","DIESEL",2025-02-20,6.53
"Paulo Afonso","DIESEL S10",2025-02-20,6.52
"Paulo Afonso","ETANOL",2025-02-20,4.89
"Paulo Afonso","GASOLINA",2025-02-20,6.26
"Paulo Afonso","GASOLINA ADITIVADA",2025-02-20,6.32
"Pocoes","DIESEL",2025-02-19,5.9
"Pocoes","DIESEL S10",2025-02-19,6.06
"Pocoes","ETANOL",2025-02-19,4.49
"Pocoes","GASOLINA",2025-02-19,6.27
"Pocoes","GASOLINA ADITIVADA",2025-02-19,6.28
"Porto Seguro","DIESEL",2025-02-20,6.99
"Porto Seguro","DIESEL S10",2025-02-20,7.09
"Porto Seguro","ETANOL",2025-02-20,5
"Porto Seguro","GASOLINA",2025-02-20,6.9
"Porto Seguro","GASOLINA ADITIVADA",2025-02-20,7.05
"Rio Largo","DIESEL",2025-02-19,6.24
"Rio Largo","DIESEL S10",2025-02-19,6.26
